================================================================
   TABLE DE MAPPING DES ICÔNES -- Feather -> Lucide
   @gladysassistant/theme-optimized
================================================================

Date           : 10/03/2026 23:51:26
  icon-file-chart-column                     icon-file-chart-column-increasing          icon-file-chart-line                       icon-file-chart-pie
  icon-file-check                            icon-file-check-2                          icon-file-check-corner                     icon-file-clock
  icon-file-code                             icon-file-code-2                           icon-file-code-corner                      icon-file-cog
  icon-file-cog-2                            icon-file-diff                             icon-file-digit                            icon-file-down
  icon-file-edit                             icon-file-exclamation-point                icon-file-headphone                        icon-file-heart
  icon-file-image                            icon-file-input                            icon-file-json                             icon-file-json-2
  icon-file-key                              icon-file-key-2                            icon-file-line-chart                       icon-file-lock
  icon-file-lock-2                           icon-file-minus-2                          icon-file-minus-corner                     icon-file-music
  icon-file-output                           icon-file-pen                              icon-file-pen-line                         icon-file-pie-chart
  icon-file-play                             icon-file-plus-2                           icon-file-plus-corner                      icon-file-question
  icon-file-question-mark                    icon-file-scan                             icon-file-search                           icon-file-search-2
  icon-file-search-corner                    icon-file-signal                           icon-file-signature                        icon-file-sliders
  icon-file-spreadsheet                      icon-file-stack                            icon-file-symlink                          icon-file-terminal
  icon-file-type                             icon-file-type-2                           icon-file-type-corner                      icon-file-up
  icon-file-user                             icon-file-video                            icon-file-video-2                          icon-file-video-camera
  icon-file-volume                           icon-file-volume-2                         icon-file-warning                          icon-file-x
  icon-file-x-2                              icon-file-x-corner                         icon-files                                 icon-filter-x
  icon-fingerprint                           icon-fingerprint-pattern                   icon-fire-extinguisher                     icon-fish
  icon-fish-off                              icon-fish-symbol                           icon-fishing-hook                          icon-fishing-rod
  icon-flag-off                              icon-flag-triangle-left                    icon-flag-triangle-right                   icon-flame
  icon-flame-kindling                        icon-flashlight                            icon-flashlight-off                        icon-flask-conical
  icon-flask-conical-off                     icon-flask-round                           icon-flip-horizontal                       icon-flip-horizontal-2
  icon-flip-vertical                         icon-flip-vertical-2                       icon-flower                                icon-flower-2
  icon-focus                                 icon-fold-horizontal                       icon-fold-vertical                         icon-folder-archive
  icon-folder-check                          icon-folder-clock                          icon-folder-closed                         icon-folder-code
  icon-folder-cog                            icon-folder-cog-2                          icon-folder-dot                            icon-folder-down
  icon-folder-edit                           icon-folder-git                            icon-folder-git-2                          icon-folder-heart
  icon-folder-input                          icon-folder-kanban                         icon-folder-key                            icon-folder-lock
  icon-folder-open                           icon-folder-open-dot                       icon-folder-output                         icon-folder-pen
  icon-folder-root                           icon-folder-search                         icon-folder-search-2                       icon-folder-symlink
  icon-folder-sync                           icon-folder-tree                           icon-folder-up                             icon-folder-x
  icon-folders                               icon-footprints                            icon-fork-knife                            icon-fork-knife-crossed
  icon-forklift                              icon-form                                  icon-form-input                            icon-forward
  icon-frame                                 icon-framer                                icon-frown                                 icon-fuel
  icon-fullscreen                            icon-function-square                       icon-funnel                                icon-funnel-plus
  icon-funnel-x                              icon-gallery-horizontal                    icon-gallery-horizontal-end                icon-gallery-thumbnails
  icon-gallery-vertical                      icon-gallery-vertical-end                  icon-gamepad                               icon-gamepad-2
  icon-gamepad-directional                   icon-gantt-chart                           icon-gantt-chart-square                    icon-gauge
  icon-gauge-circle                          icon-gavel                                 icon-gem                                   icon-georgian-lari
  icon-ghost                                 icon-gift                                  icon-git-branch-minus                      icon-git-branch-plus
  icon-git-commit                            icon-git-commit-vertical                   icon-git-compare                           icon-git-compare-arrows
  icon-git-fork                              icon-git-graph                             icon-git-merge-conflict                    icon-git-pull-request-arrow
  icon-git-pull-request-closed               icon-git-pull-request-create               icon-git-pull-request-create-arrow         icon-git-pull-request-draft
  icon-glass-water                           icon-glasses                               icon-globe-2                               icon-globe-lock
  icon-globe-off                             icon-globe-x                               icon-goal                                  icon-gpu
  icon-grab                                  icon-graduation-cap                        icon-grape                                 icon-grid-2-x-2
  icon-grid-2-x-2-check                      icon-grid-2-x-2-plus                       icon-grid-2-x-2-x                          icon-grid-2x2
  icon-grid-2x2-check                        icon-grid-2x2-plus                         icon-grid-2x2-x                            icon-grid-3-x-3
  icon-grid-3x2                              icon-grid-3x3                              icon-grip                                  icon-grip-horizontal
  icon-grip-vertical                         icon-group                                 icon-guitar                                icon-ham
  icon-hamburger                             icon-hammer                                icon-hand                                  icon-hand-coins
  icon-hand-fist                             icon-hand-grab                             icon-hand-heart                            icon-hand-helping
  icon-hand-metal                            icon-hand-platter                          icon-handbag                               icon-handshake
  icon-hard-drive-download                   icon-hard-drive-upload                     icon-hard-hat                              icon-hat-glasses
  icon-haze                                  icon-hd                                    icon-hdmi-port                             icon-heading
  icon-heading-1                             icon-heading-2                             icon-heading-3                             icon-heading-4
  icon-heading-5                             icon-heading-6                             icon-headphone-off                         icon-headset
  icon-heart-crack                           icon-heart-handshake                       icon-heart-minus                           icon-heart-off
  icon-heart-plus                            icon-heart-pulse                           icon-heater                                icon-helicopter
  icon-help-circle                           icon-helping-hand                          icon-hexagon                               icon-highlighter
  icon-history                               icon-hop                                   icon-hop-off                               icon-hospital
  icon-hotel                                 icon-hourglass                             icon-house                                 icon-house-heart
  icon-house-plug                            icon-house-plus                            icon-house-wifi                            icon-ice-cream
  icon-ice-cream-2                           icon-ice-cream-bowl                        icon-ice-cream-cone                        icon-id-card
  icon-id-card-lanyard                       icon-image-down                            icon-image-minus                           icon-image-off
  icon-image-play                            icon-image-plus                            icon-image-up                              icon-image-upscale
  icon-images                                icon-import                                icon-indent                                icon-indent-decrease
  icon-indent-increase                       icon-indian-rupee                          icon-infinity                              icon-inspect
  icon-inspection-panel                      icon-iteration-ccw                         icon-iteration-cw                          icon-japanese-yen
  icon-joystick                              icon-kanban                                icon-kanban-square                         icon-kanban-square-dashed
  icon-kayak                                 icon-key                                   icon-key-round                             icon-key-square
  icon-keyboard                              icon-keyboard-music                        icon-keyboard-off                          icon-lamp
  icon-lamp-ceiling                          icon-lamp-desk                             icon-lamp-floor                            icon-lamp-wall-down
  icon-lamp-wall-up                          icon-land-plot                             icon-landmark                              icon-languages
  icon-laptop                                icon-laptop-2                              icon-laptop-minimal                        icon-laptop-minimal-check
  icon-lasso                                 icon-lasso-select                          icon-laugh                                 icon-layers-2
  icon-layers-3                              icon-layers-plus                           icon-layout-dashboard                      icon-layout-grid
  icon-layout-list                           icon-layout-panel-left                     icon-layout-panel-top                      icon-layout-template
  icon-leaf                                  icon-leafy-green                           icon-lectern                               icon-lens-concave
  icon-lens-convex                           icon-letter-text                           icon-library                               icon-library-big
  icon-library-square                        icon-ligature                              icon-lightbulb                             icon-lightbulb-off
  icon-line-chart                            icon-line-dot-right-horizontal             icon-line-squiggle                         icon-link-2-off
  icon-list-check                            icon-list-checks                           icon-list-chevrons-down-up                 icon-list-chevrons-up-down
  icon-list-collapse                         icon-list-end                              icon-list-filter                           icon-list-filter-plus
  icon-list-indent-decrease                  icon-list-indent-increase                  icon-list-minus                            icon-list-music
  icon-list-ordered                          icon-list-plus                             icon-list-restart                          icon-list-start
  icon-list-todo                             icon-list-tree                             icon-list-video                            icon-list-x
  icon-loader-2                              icon-loader-circle                         icon-loader-pinwheel                       icon-locate
  icon-locate-fixed                          icon-locate-off                            icon-location-edit                         icon-lock-keyhole
  icon-lock-keyhole-open                     icon-lock-open                             icon-logs                                  icon-lollipop
  icon-luggage                               icon-m-square                              icon-magnet                                icon-mail-check
  icon-mail-minus                            icon-mail-open                             icon-mail-plus                             icon-mail-question
  icon-mail-question-mark                    icon-mail-search                           icon-mail-warning                          icon-mail-x
  icon-mailbox                               icon-mails                                 icon-map-minus                             icon-map-pin-check
  icon-map-pin-check-inside                  icon-map-pin-house                         icon-map-pin-minus                         icon-map-pin-minus-inside
  icon-map-pin-off                           icon-map-pin-pen                           icon-map-pin-plus                          icon-map-pin-plus-inside
  icon-map-pin-x                             icon-map-pin-x-inside                      icon-map-pinned                            icon-map-plus
  icon-mars                                  icon-mars-stroke                           icon-martini                               icon-medal
  icon-megaphone                             icon-megaphone-off                         icon-meh                                   icon-memory-stick
  icon-menu-square                           icon-merge                                 icon-message-circle-check                  icon-message-circle-code
  icon-message-circle-dashed                 icon-message-circle-heart                  icon-message-circle-more                   icon-message-circle-off
  icon-message-circle-plus                   icon-message-circle-question               icon-message-circle-question-mark          icon-message-circle-reply
  icon-message-circle-warning                icon-message-circle-x                      icon-message-square-check                  icon-message-square-code
  icon-message-square-dashed                 icon-message-square-diff                   icon-message-square-dot                    icon-message-square-heart
  icon-message-square-lock                   icon-message-square-more                   icon-message-square-off                    icon-message-square-plus
  icon-message-square-quote                  icon-message-square-reply                  icon-message-square-share                  icon-message-square-text
  icon-message-square-warning                icon-message-square-x                      icon-messages-square                       icon-metronome
  icon-mic-2                                 icon-mic-vocal                             icon-microchip                             icon-microscope
  icon-microwave                             icon-milestone                             icon-milk                                  icon-milk-off
  icon-minus-circle                          icon-minus-square                          icon-mirror-rectangular                    icon-mirror-round
  icon-monitor-check                         icon-monitor-cloud                         icon-monitor-cog                           icon-monitor-dot
  icon-monitor-down                          icon-monitor-off                           icon-monitor-pause                         icon-monitor-play
  icon-monitor-smartphone                    icon-monitor-speaker                       icon-monitor-stop                          icon-monitor-up
  icon-monitor-x                             icon-moon-star                             icon-more-horizontal                       icon-more-vertical
  icon-motorbike                             icon-mountain                              icon-mountain-snow                         icon-mouse
  icon-mouse-left                            icon-mouse-off                             icon-mouse-pointer                         icon-mouse-pointer-2
  icon-mouse-pointer-2-off                   icon-mouse-pointer-ban                     icon-mouse-pointer-click                   icon-mouse-pointer-square-dashed
  icon-mouse-right                           icon-move-3-d                              icon-move-3d                               icon-move-diagonal
  icon-move-diagonal-2                       icon-move-down                             icon-move-down-left                        icon-move-down-right
  icon-move-horizontal                       icon-move-left                             icon-move-right                            icon-move-up
  icon-move-up-left                          icon-move-up-right                         icon-move-vertical                         icon-music-2
  icon-music-3                               icon-music-4                               icon-navigation-2-off                      icon-navigation-off
  icon-network                               icon-newspaper                             icon-nfc                                   icon-non-binary
  icon-notebook                              icon-notebook-pen                          icon-notebook-tabs                         icon-notebook-text
  icon-notepad-text                          icon-notepad-text-dashed                   icon-nut                                   icon-nut-off
  icon-octagon-minus                         icon-octagon-pause                         icon-octagon-x                             icon-omega
  icon-option                                icon-orbit                                 icon-origami                               icon-outdent
  icon-package-2                             icon-package-check                         icon-package-minus                         icon-package-open
  icon-package-plus                          icon-package-search                        icon-package-x                             icon-paint-bucket
  icon-paint-roller                          icon-paintbrush                            icon-paintbrush-2                          icon-paintbrush-vertical
  icon-palette                               icon-palmtree                              icon-panda                                 icon-panel-bottom
  icon-panel-bottom-close                    icon-panel-bottom-dashed                   icon-panel-bottom-inactive                 icon-panel-bottom-open
  icon-panel-left                            icon-panel-left-close                      icon-panel-left-dashed                     icon-panel-left-inactive
  icon-panel-left-open                       icon-panel-left-right-dashed               icon-panel-right                           icon-panel-right-close
  icon-panel-right-dashed                    icon-panel-right-inactive                  icon-panel-right-open                      icon-panel-top
  icon-panel-top-bottom-dashed               icon-panel-top-close                       icon-panel-top-dashed                      icon-panel-top-inactive
  icon-panel-top-open                        icon-panels-left-bottom                    icon-panels-left-right                     icon-panels-right-bottom
  icon-panels-top-bottom                     icon-panels-top-left                       icon-parentheses                           icon-parking-circle
  icon-parking-circle-off                    icon-parking-meter                         icon-parking-square                        icon-parking-square-off
  icon-party-popper                          icon-pause-circle                          icon-pause-octagon                         icon-paw-print
  icon-pc-case                               icon-pen-box                               icon-pen-off                               icon-pen-square
  icon-pen-tool                              icon-pencil-line                           icon-pencil-off                            icon-pencil-ruler
  icon-pentagon                              icon-percent-circle                        icon-percent-diamond                       icon-percent-square
  icon-person-standing                       icon-philippine-peso                       icon-pi                                    icon-pi-square
  icon-piano                                 icon-pickaxe                               icon-picture-in-picture                    icon-picture-in-picture-2
  icon-piggy-bank                            icon-pilcrow                               icon-pilcrow-left                          icon-pilcrow-right
  icon-pilcrow-square                        icon-pill                                  icon-pill-bottle                           icon-pin
  icon-pin-off                               icon-pipette                               icon-pizza                                 icon-plane
  icon-plane-landing                         icon-plane-takeoff                         icon-play-circle                           icon-play-square
  icon-plug                                  icon-plug-2                                icon-plug-zap                              icon-plug-zap-2
  icon-plus-circle                           icon-plus-square                           icon-pocket-knife                          icon-podcast
  icon-pointer                               icon-pointer-off                           icon-popcorn                               icon-popsicle
  icon-pound-sterling                        icon-power-circle                          icon-power-off                             icon-power-square
  icon-presentation                          icon-printer-check                         icon-printer-x                             icon-projector
  icon-proportions                           icon-puzzle                                icon-pyramid                               icon-qr-code
  icon-quote                                 icon-rabbit                                icon-radar                                 icon-radiation
  icon-radical                               icon-radio-receiver                        icon-radio-tower                           icon-radius
  icon-rail-symbol                           icon-rainbow                               icon-rat                                   icon-ratio
  icon-receipt                               icon-receipt-cent                          icon-receipt-euro                          icon-receipt-indian-rupee
  icon-receipt-japanese-yen                  icon-receipt-pound-sterling                icon-receipt-russian-ruble                 icon-receipt-swiss-franc
  icon-receipt-text                          icon-receipt-turkish-lira                  icon-rectangle-circle                      icon-rectangle-ellipsis
  icon-rectangle-goggles                     icon-rectangle-horizontal                  icon-rectangle-vertical                    icon-recycle
  icon-redo                                  icon-redo-2                                icon-redo-dot                              icon-refresh-ccw-dot
  icon-refresh-cw-off                        icon-refrigerator                          icon-regex                                 icon-remove-formatting
  icon-repeat-1                              icon-repeat-2                              icon-replace                               icon-replace-all
  icon-reply                                 icon-reply-all                             icon-ribbon                                icon-rocket
  icon-rocking-chair                         icon-roller-coaster                        icon-rose                                  icon-rotate-3-d
  icon-rotate-3d                             icon-rotate-ccw-key                        icon-rotate-ccw-square                     icon-rotate-cw-square
  icon-route                                 icon-route-off                             icon-router                                icon-rows
  icon-rows-2                                icon-rows-3                                icon-rows-4                                icon-ruler
  icon-ruler-dimension-line                  icon-russian-ruble                         icon-sailboat                              icon-salad
  icon-sandwich                              icon-satellite                             icon-satellite-dish                        icon-saudi-riyal
  icon-save-all                              icon-save-off                              icon-scale                                 icon-scale-3-d
  icon-scale-3d                              icon-scaling                               icon-scan                                  icon-scan-barcode
  icon-scan-eye                              icon-scan-face                             icon-scan-heart                            icon-scan-line
  icon-scan-qr-code                          icon-scan-search                           icon-scan-text                             icon-scatter-chart
  icon-school                                icon-school-2                              icon-scissors-line-dashed                  icon-scissors-square
  icon-scissors-square-dashed-bottom         icon-scooter                               icon-screen-share                          icon-screen-share-off
  icon-scroll                                icon-scroll-text                           icon-search-alert                          icon-search-check
  icon-search-code                           icon-search-slash                          icon-search-x                              icon-section
  icon-send-horizonal                        icon-send-horizontal                       icon-send-to-back                          icon-separator-horizontal
  icon-separator-vertical                    icon-server-cog                            icon-server-crash                          icon-server-off
  icon-settings-2                            icon-shapes                                icon-sheet                                 icon-shell
  icon-shelving-unit                         icon-shield-alert                          icon-shield-ban                            icon-shield-check
  icon-shield-close                          icon-shield-ellipsis                       icon-shield-half                           icon-shield-minus
  icon-shield-plus                           icon-shield-question                       icon-shield-question-mark                  icon-shield-user
  icon-shield-x                              icon-ship                                  icon-ship-wheel                            icon-shirt
  icon-shopping-basket                       icon-shovel                                icon-shower-head                           icon-shredder
  icon-shrimp                                icon-shrink                                icon-shrub                                 icon-sidebar-close
  icon-sidebar-open                          icon-sigma                                 icon-sigma-square                          icon-signal
  icon-signal-high                           icon-signal-low                            icon-signal-medium                         icon-signal-zero
  icon-signature                             icon-signpost                              icon-signpost-big                          icon-siren
  icon-skull                                 icon-slash-square                          icon-slice                                 icon-sliders
  icon-sliders-vertical                      icon-smartphone-charging                   icon-smartphone-nfc                        icon-smile
  icon-smile-plus                            icon-snail                                 icon-snowflake                             icon-soap-dispenser-droplet
  icon-sofa                                  icon-solar-panel                           icon-sort-asc                              icon-sort-desc
  icon-soup                                  icon-space                                 icon-spade                                 icon-sparkle
  icon-sparkles                              icon-speech                                icon-spell-check                           icon-spell-check-2
  icon-spline                                icon-spline-pointer                        icon-split                                 icon-split-square-horizontal
  icon-split-square-vertical                 icon-spool                                 icon-spotlight                             icon-spray-can
  icon-sprout                                icon-square-activity                       icon-square-arrow-down                     icon-square-arrow-down-left
  icon-square-arrow-down-right               icon-square-arrow-left                     icon-square-arrow-out-down-left            icon-square-arrow-out-down-right
  icon-square-arrow-out-up-left              icon-square-arrow-out-up-right             icon-square-arrow-right                    icon-square-arrow-right-enter
  icon-square-arrow-right-exit               icon-square-arrow-up                       icon-square-arrow-up-left                  icon-square-arrow-up-right
  icon-square-asterisk                       icon-square-bottom-dashed-scissors         icon-square-centerline-dashed-horizontal   icon-square-centerline-dashed-vertical
  icon-square-chart-gantt                    icon-square-check-big                      icon-square-chevron-down                   icon-square-chevron-left
  icon-square-chevron-right                  icon-square-chevron-up                     icon-square-code                           icon-square-dashed
  icon-square-dashed-bottom                  icon-square-dashed-bottom-code             icon-square-dashed-kanban                  icon-square-dashed-mouse-pointer
  icon-square-dashed-top-solid               icon-square-divide                         icon-square-dot                            icon-square-equal
  icon-square-function                       icon-square-gantt-chart                    icon-square-kanban                         icon-square-library
  icon-square-m                              icon-square-menu                           icon-square-mouse-pointer                  icon-square-parking
  icon-square-parking-off                    icon-square-pause                          icon-square-pen                            icon-square-percent
  icon-square-pi                             icon-square-pilcrow                        icon-square-play                           icon-square-power
  icon-square-radical                        icon-square-round-corner                   icon-square-scissors                       icon-square-sigma
  icon-square-slash                          icon-square-split-horizontal               icon-square-split-vertical                 icon-square-square
  icon-square-stack                          icon-square-star                           icon-square-stop                           icon-square-terminal
  icon-square-user                           icon-square-user-round                     icon-squares-exclude                       icon-squares-intersect
  icon-squares-subtract                      icon-squares-unite                         icon-squircle                              icon-squircle-dashed
  icon-squirrel                              icon-stamp                                 icon-star-half                             icon-star-off
  icon-stars                                 icon-step-back                             icon-step-forward                          icon-stethoscope
  icon-sticker                               icon-sticky-note                           icon-stone                                 icon-stop-circle
  icon-store                                 icon-stretch-horizontal                    icon-stretch-vertical                      icon-strikethrough
  icon-subscript                             icon-subtitles                             icon-sun-dim                               icon-sun-medium
  icon-sun-moon                              icon-sun-snow                              icon-superscript                           icon-swatch-book
  icon-swiss-franc                           icon-switch-camera                         icon-sword                                 icon-swords
  icon-syringe                               icon-table                                 icon-table-2                               icon-table-cells-merge
  icon-table-cells-split                     icon-table-columns-split                   icon-table-config                          icon-table-of-contents
  icon-table-properties                      icon-table-rows-split                      icon-tablet-smartphone                     icon-tablets
  icon-tags                                  icon-tally-1                               icon-tally-2                               icon-tally-3
  icon-tally-4                               icon-tally-5                               icon-tangent                               icon-telescope
  icon-tent                                  icon-tent-tree                             icon-terminal-square                       icon-test-tube
  icon-test-tube-2                           icon-test-tube-diagonal                    icon-test-tubes                            icon-text
  icon-text-align-center                     icon-text-align-end                        icon-text-align-justify                    icon-text-align-start
  icon-text-cursor                           icon-text-cursor-input                     icon-text-initial                          icon-text-quote
  icon-text-search                           icon-text-select                           icon-text-selection                        icon-text-wrap
  icon-theater                               icon-thermometer-snowflake                 icon-thermometer-sun                       icon-ticket
  icon-ticket-check                          icon-ticket-minus                          icon-ticket-percent                        icon-ticket-plus
  icon-ticket-slash                          icon-ticket-x                              icon-tickets                               icon-tickets-plane
  icon-timer                                 icon-timer-off                             icon-timer-reset                           icon-toilet
  icon-tool-case                             icon-toolbox                               icon-tornado                               icon-torus
  icon-touchpad                              icon-touchpad-off                          icon-towel-rack                            icon-tower-control
  icon-toy-brick                             icon-tractor                               icon-traffic-cone                          icon-train
  icon-train-front                           icon-train-front-tunnel                    icon-train-track                           icon-tram-front
  icon-transgender                           icon-tree-deciduous                        icon-tree-palm                             icon-tree-pine
  icon-trees                                 icon-trello                                icon-trending-up-down                      icon-triangle-dashed
  icon-triangle-right                        icon-trophy                                icon-truck-electric                        icon-turkish-lira
  icon-turntable                             icon-turtle                                icon-tv-2                                  icon-tv-minimal
  icon-tv-minimal-play                       icon-twitch                                icon-type-outline                          icon-umbrella-off
  icon-undo                                  icon-undo-2                                icon-undo-dot                              icon-unfold-horizontal
  icon-unfold-vertical                       icon-ungroup                               icon-university                            icon-unlink
  icon-unlink-2                              icon-unlock-keyhole                        icon-unplug                                icon-usb
  icon-user-2                                icon-user-check-2                          icon-user-circle                           icon-user-circle-2
  icon-user-cog                              icon-user-cog-2                            icon-user-key                              icon-user-lock
  icon-user-minus-2                          icon-user-pen                              icon-user-plus-2                           icon-user-round
  icon-user-round-check                      icon-user-round-cog                        icon-user-round-key                        icon-user-round-minus
  icon-user-round-pen                        icon-user-round-plus                       icon-user-round-search                     icon-user-round-x
  icon-user-search                           icon-user-square                           icon-user-square-2                         icon-user-star
  icon-user-x-2                              icon-users-2                               icon-users-round                           icon-utensils
  icon-utensils-crossed                      icon-utility-pole                          icon-van                                   icon-variable
  icon-vault                                 icon-vector-square                         icon-vegan                                 icon-venetian-mask
  icon-venus                                 icon-venus-and-mars                        icon-verified                              icon-vibrate
  icon-vibrate-off                           icon-videotape                             icon-view                                  icon-volleyball
  icon-volume-off                            icon-vote                                  icon-wallet                                icon-wallet-2
  icon-wallet-cards                          icon-wallet-minimal                        icon-wallpaper                             icon-wand
  icon-wand-2                                icon-wand-sparkles                         icon-warehouse                             icon-washing-machine
  icon-waves                                 icon-waves-arrow-down                      icon-waves-arrow-up                        icon-waves-ladder
  icon-waypoints                             icon-webcam                                icon-webhook                               icon-webhook-off
  icon-weight                                icon-weight-tilde                          icon-wheat                                 icon-wheat-off
  icon-whole-word                            icon-wifi-cog                              icon-wifi-high                             icon-wifi-low
  icon-wifi-pen                              icon-wifi-sync                             icon-wifi-zero                             icon-wind-arrow-down
  icon-wine                                  icon-wine-off                              icon-workflow                              icon-worm
  icon-wrap-text                             icon-wrench                                icon-x-circle                              icon-x-line-top
  icon-x-octagon                             icon-x-square                              icon-youtube                               icon-zodiac-aquarius
  icon-zodiac-aries                          icon-zodiac-cancer                         icon-zodiac-capricorn                      icon-zodiac-gemini
  icon-zodiac-leo                            icon-zodiac-libra                          icon-zodiac-ophiuchus                      icon-zodiac-pisces
  icon-zodiac-sagittarius                    icon-zodiac-scorpio                        icon-zodiac-taurus                         icon-zodiac-virgo

========================================================================
E. CATALOGUE COMPLET LUCIDE -- 1951 icônes disponibles (v0.577.0)
========================================================================

  Syntaxe HTML : <i class="icon-NOM"></i>
  Syntaxe JSX  : <i class="icon-NOM" />
  Classe CSS   : .icon-NOM

  icon-a-arrow-down                          icon-a-arrow-up                            icon-a-large-small                         icon-accessibility
  icon-activity                              icon-activity-square                       icon-air-vent                              icon-airplay
  icon-alarm-check                           icon-alarm-clock                           icon-alarm-clock-check                     icon-alarm-clock-minus
  icon-alarm-clock-off                       icon-alarm-clock-plus                      icon-alarm-minus                           icon-alarm-plus
  icon-alarm-smoke                           icon-album                                 icon-alert-circle                          icon-alert-octagon
  icon-alert-triangle                        icon-align-center                          icon-align-center-horizontal               icon-align-center-vertical
  icon-align-end-horizontal                  icon-align-end-vertical                    icon-align-horizontal-distribute-center    icon-align-horizontal-distribute-end
  icon-align-horizontal-distribute-start     icon-align-horizontal-justify-center       icon-align-horizontal-justify-end          icon-align-horizontal-justify-start
  icon-align-horizontal-space-around         icon-align-horizontal-space-between        icon-align-justify                         icon-align-left
  icon-align-right                           icon-align-start-horizontal                icon-align-start-vertical                  icon-align-vertical-distribute-center
  icon-align-vertical-distribute-end         icon-align-vertical-distribute-start       icon-align-vertical-justify-center         icon-align-vertical-justify-end
  icon-align-vertical-justify-start          icon-align-vertical-space-around           icon-align-vertical-space-between          icon-ambulance
  icon-ampersand                             icon-ampersands                            icon-amphora                               icon-anchor
  icon-angry                                 icon-annoyed                               icon-antenna                               icon-anvil
  icon-aperture                              icon-app-window                            icon-app-window-mac                        icon-apple
  icon-archive                               icon-archive-restore                       icon-archive-x                             icon-area-chart
  icon-armchair                              icon-arrow-big-down                        icon-arrow-big-down-dash                   icon-arrow-big-left
  icon-arrow-big-left-dash                   icon-arrow-big-right                       icon-arrow-big-right-dash                  icon-arrow-big-up
  icon-arrow-big-up-dash                     icon-arrow-down                            icon-arrow-down-0-1                        icon-arrow-down-01
  icon-arrow-down-1-0                        icon-arrow-down-10                         icon-arrow-down-a-z                        icon-arrow-down-az
  icon-arrow-down-circle                     icon-arrow-down-from-line                  icon-arrow-down-left                       icon-arrow-down-left-from-circle
  icon-arrow-down-left-from-square           icon-arrow-down-left-square                icon-arrow-down-narrow-wide                icon-arrow-down-right
  icon-arrow-down-right-from-circle          icon-arrow-down-right-from-square          icon-arrow-down-right-square               icon-arrow-down-square
  icon-arrow-down-to-dot                     icon-arrow-down-to-line                    icon-arrow-down-up                         icon-arrow-down-wide-narrow
  icon-arrow-down-z-a                        icon-arrow-down-za                         icon-arrow-left                            icon-arrow-left-circle
  icon-arrow-left-from-line                  icon-arrow-left-right                      icon-arrow-left-square                     icon-arrow-left-to-line
  icon-arrow-right                           icon-arrow-right-circle                    icon-arrow-right-from-line                 icon-arrow-right-left
  icon-arrow-right-square                    icon-arrow-right-to-line                   icon-arrow-up                              icon-arrow-up-0-1
  icon-arrow-up-01                           icon-arrow-up-1-0                          icon-arrow-up-10                           icon-arrow-up-a-z
  icon-arrow-up-az                           icon-arrow-up-circle                       icon-arrow-up-down                         icon-arrow-up-from-dot
  icon-arrow-up-from-line                    icon-arrow-up-left                         icon-arrow-up-left-from-circle             icon-arrow-up-left-from-square
  icon-arrow-up-left-square                  icon-arrow-up-narrow-wide                  icon-arrow-up-right                        icon-arrow-up-right-from-circle
  icon-arrow-up-right-from-square            icon-arrow-up-right-square                 icon-arrow-up-square                       icon-arrow-up-to-line
  icon-arrow-up-wide-narrow                  icon-arrow-up-z-a                          icon-arrow-up-za                           icon-arrows-up-from-line
  icon-asterisk                              icon-asterisk-square                       icon-at-sign                               icon-atom
  icon-audio-lines                           icon-audio-waveform                        icon-award                                 icon-axe
  icon-axis-3-d                              icon-axis-3d                               icon-baby                                  icon-backpack
  icon-badge                                 icon-badge-alert                           icon-badge-cent                            icon-badge-check
  icon-badge-dollar-sign                     icon-badge-euro                            icon-badge-help                            icon-badge-indian-rupee
  icon-badge-info                            icon-badge-japanese-yen                    icon-badge-minus                           icon-badge-percent
  icon-badge-plus                            icon-badge-pound-sterling                  icon-badge-question-mark                   icon-badge-russian-ruble
  icon-badge-swiss-franc                     icon-badge-turkish-lira                    icon-badge-x                               icon-baggage-claim
  icon-balloon                               icon-ban                                   icon-banana                                icon-bandage
  icon-banknote                              icon-banknote-arrow-down                   icon-banknote-arrow-up                     icon-banknote-x
  icon-bar-chart                             icon-bar-chart-2                           icon-bar-chart-3                           icon-bar-chart-4
  icon-bar-chart-big                         icon-bar-chart-horizontal                  icon-bar-chart-horizontal-big              icon-barcode
  icon-barrel                                icon-baseline                              icon-bath                                  icon-battery
  icon-battery-charging                      icon-battery-full                          icon-battery-low                           icon-battery-medium
  icon-battery-plus                          icon-battery-warning                       icon-beaker                                icon-bean
  icon-bean-off                              icon-bed                                   icon-bed-double                            icon-bed-single
  icon-beef                                  icon-beer                                  icon-beer-off                              icon-bell
  icon-bell-dot                              icon-bell-electric                         icon-bell-minus                            icon-bell-off
  icon-bell-plus                             icon-bell-ring                             icon-between-horizonal-end                 icon-between-horizonal-start
  icon-between-horizontal-end                icon-between-horizontal-start              icon-between-vertical-end                  icon-between-vertical-start
  icon-biceps-flexed                         icon-bike                                  icon-binary                                icon-binoculars
  icon-biohazard                             icon-bird                                  icon-birdhouse                             icon-bitcoin
  icon-blend                                 icon-blinds                                icon-blocks                                icon-bluetooth
  icon-bluetooth-connected                   icon-bluetooth-off                         icon-bluetooth-searching                   icon-bold
  icon-bolt                                  icon-bomb                                  icon-bone                                  icon-book
  icon-book-a                                icon-book-alert                            icon-book-audio                            icon-book-check
  icon-book-copy                             icon-book-dashed                           icon-book-down                             icon-book-headphones
